Date,District/City,Minimum Rate,Maximum Rate,Average Rate
11/26/2023,Bunner,3620,3690,3655
11/26/2023,Mardan,3650,4220,3935
11/26/2023,Peshawar,3630,3790,3710
11/26/2023,Arifwala,3980,4260,4120
11/26/2023,Chowk Azam,4240,4290,4265
11/26/2023,Pattoki,3680,4280,3980
11/26/2023,Sahiwal,3850,4320,4085
11/26/2023,Gojra,3910,3920,3915
11/26/2023,Kamalia,3920,4140,4030
11/26/2023,Kasur,3910,4390,4150
11/26/2023,Shorkot,4100,4200,4150
11/26/2023,Sialkot,3810,4110,3960
11/26/2023,Ali Pur,3950,4200,4075
11/26/2023,AhmadPur Sharqia,3640,4110,3875
11/26/2023,Bahawalnagar,4180,4250,4215
11/26/2023,Bahawalpur,3880,3930,3905
11/26/2023,Bhakkar,3810,3990,3900
11/26/2023,Burewala,3800,3960,3880
11/26/2023,Chichawatni,3830,4090,3960
11/26/2023,Chishtian,3690,3910,3800
11/26/2023,Chakwal,3720,4170,3945
11/26/2023,Chowk Munda,3680,4340,4010
11/26/2023,Dera Ghazi Khan,3860,4290,4075
11/26/2023,Dunga Bunga,3730,3800,3765
11/26/2023,Faisalabad,3790,4210,4000
11/26/2023,Faqirwali,3910,4240,4075
11/26/2023,Fazil Pur,3630,4230,3930
11/26/2023,Fortabbas,3670,4210,3940
11/26/2023,Gujranwala,3980,4160,4070
11/26/2023,Haroonabad,3630,3710,3670
11/26/2023,Hasilpur,3990,4180,4085
11/26/2023,Islamabad,3900,4270,4085
11/26/2023,Kahror Pakka,3900,4300,4100
11/26/2023,Khanpur,3670,3940,3805
11/26/2023,khanewal,3890,4200,4045
11/26/2023,Layyah,4080,4280,4180
11/26/2023,Lahore,4010,4360,4185
11/26/2023,Lodhran,4080,4230,4155
11/26/2023,Multan,4030,4050,4040
11/26/2023,Mianwali,4140,4240,4190
11/26/2023,Mian Channu,3830,3880,3855
11/26/2023,Minchanabad,3660,4080,3870
11/26/2023,Muzaffargarh,3700,3720,3710
11/26/2023,Okara,3870,4350,4110
11/26/2023,Pakpattan Sharif,3770,4200,3985
11/26/2023,Rahim Yar Khan,3710,4200,3955
11/26/2023,Rajanpur,3910,4020,3965
11/26/2023,Rawalpindi,3940,4010,3975
11/26/2023,Sadiqabad,3770,4120,3945
11/26/2023,Sargodha,4120,4310,4215
11/26/2023,Sheikhupura,3610,3680,3645
11/26/2023,Vehari,3800,4160,3980
11/26/2023,Naushahro Feroze,4090,4150,4120
